Operation Number,Operation Region,Operation Name,Operation Name (Number),Address Line 1,Address Line 2,City,Zip Code,County,Operation Type,Capacity,Permit Issue Date,Today,Dt Load Process,Effective Date 1/1/22,Operating Status 1/1/22,Permit Status 1/1/22,Effective Date 1/8/22,Operating Status 1/8/22,Permit Status 1/8/22,Effective Date 1/15/22,Operating Status 1/15/22,Permit Status 1/15/22,Effective Date 1/22/22,Operating Status 1/22/22,Permit Status 1/22/22,Effective Date 1/29/22,Operating Status 1/29/22,Permit Status 1/29/22
6798,3,Jack and Jill Day Care Center,Jack and Jill Day Care Center (6798),800 MARTIN LUTHER KING ST,,DENISON,75020,GRAYSON,Licensed Center - Child Care Program,42,10/28/86,3/2/22,2/7/22,3/30/20,Y,Full,,,,,,,,,,,,
6864,3,Good Street Learning Center  INC,Good Street Learning Center  INC (6864),3126 ELSIE FAYE HEGGINS ST,,DALLAS,75215,DALLAS,Licensed Center - Child Care Program,100,3/30/87,3/2/22,2/7/22,10/27/20,Y,Full,,,,,,,,,,,,
8250,11,Greenwood Molina Childrens Center,Greenwood Molina Childrens Center (8250),954 NATIONAL DR,,CORPUS CHRISTI,78416,NUECES,Licensed Center - Child Care Program,140,4/30/87,3/2/22,2/7/22,4/30/87,Y,Full,,,,,,,,,,,,
8683,3,Christ Lutheran Child Development Center,Christ Lutheran Child Development Center (8683),3001 LOVERS LN,,DALLAS,75225,DALLAS,Licensed Center - Child Care Program,102,3/20/86,3/2/22,2/7/22,4/7/21,Y,Full,,,,,,,,,,,,
8696,3,Hamilton Park Methodist Church,Hamilton Park Methodist Church (8696),11881 SCHROEDER RD,,DALLAS,75243,DALLAS,Licensed Center - Child Care Program,102,3/30/87,3/2/22,2/7/22,11/2/20,Y,Full,,,,,,,,,,,,
9048,11,Molina Neighborhood Center,Molina Neighborhood Center (9048),614 HORNE RD,,CORPUS CHRISTI,78416,NUECES,Licensed Center - Child Care Program,85,10/21/85,3/2/22,2/7/22,8/24/20,Y,Full,,,,,,,,,,,,
12191,3,Bethel Early Learning Center,Bethel Early Learning Center (12191),11211 E NORTHWEST HWY,,DALLAS,75238,DALLAS,Licensed Center - Child Care Program,100,1/21/86,3/2/22,2/7/22,6/15/20,Y,Full,,,,,,,,,,,,
12902,8,Circle School,Circle School (12902),217 PERSHING AVE,,SAN ANTONIO,78209,BEXAR,Licensed Center - Child Care Program,85,12/13/85,3/2/22,2/7/22,6/1/20,Y,Full,,,,,,,,,,,,
14169-704,1,Carver Early Learning Center,Carver Early Learning Center (14169-704),2509 ELM AVE,,LUBBOCK,79404,LUBBOCK,Licensed Center - Child Care Program,82,4/15/86,3/2/22,2/7/22,2/22/11,Y,Full,,,,,,,,,,,,
14440,6,Holloway Day Nursery,Holloway Day Nursery (14440),6501 S RICE AVE,,BELLAIRE,77401,HARRIS,Licensed Center - Child Care Program,146,1/2/86,3/2/22,2/7/22,1/2/86,Y,Full,,,,,,,,,,,,
14650-5214,3,ChildCareGroup at Landauer,ChildCareGroup at Landauer (14650-5214),4539 MUNGER AVE,,DALLAS,75204,DALLAS,Licensed Center - Child Care Program,74,8/8/86,3/2/22,2/7/22,3/1/21,Y,Full,,,,,,,,,,,,
14985,3,Jack and Jen Child Care Center,Jack and Jen Child Care Center (14985),123 S MCKOWN AVE,,SHERMAN,75092,GRAYSON,Licensed Center - Child Care Program,120,3/25/87,3/2/22,2/7/22,3/25/87,Y,Full,,,,,,,,,,,,
15433,7,St Francis Kindergarten and Nursery,St Francis Kindergarten and Nursery (15433),612 N 3RD ST,,WACO,76701,MCLENNAN,Licensed Center - Child Care Program,150,3/17/87,3/2/22,2/7/22,9/1/20,Y,Full,,,,,,,,,,,,
15514,6,Childrens University Inc,Childrens University Inc (15514),1407 BLACKBURN DR,,PASADENA,77502,HARRIS,Licensed Center - Child Care Program,113,3/6/87,3/2/22,2/7/22,3/6/87,Y,Full,,,,,,,,,,,,
15595-4070,11,Esperanza B. Garza Head Start Child Development,Esperanza B. Garza Head Start Child Development (15595-4070),131 W GARFIELD,,LAGUNA VISTA,78578,CAMERON,Licensed Center - Child Care Program,72,9/4/90,3/2/22,2/7/22,9/14/20,Y,Full,,,,,,,,,,,,
17561,8,St. Paul's Lutheran Child Development Center,St. Paul's Lutheran Child Development Center (17561),106 211 ROSEBOROUGH ST,,SAN ANTONIO,78210,BEXAR,Licensed Center - Child Care Program,128,11/25/85,3/2/22,2/7/22,5/29/20,Y,Full,,,,,,,,,,,,
17744,9,First Baptist Child Development Center and Preschool,First Baptist Child Development Center and Preschool (17744),709 N LEE AVE,,ODESSA,79761,ECTOR,Licensed Center - Child Care Program,210,7/30/87,3/2/22,2/7/22,7/30/87,Y,Full,,,,,,,,,,,,
17856,6,ChristChurch Learning Center,ChristChurch Learning Center (17856),5001 BELLAIRE BLVD,,BELLAIRE,77401,HARRIS,Licensed Center - Child Care Program,221,10/3/85,3/2/22,2/7/22,10/3/85,Y,Full,,,,,,,,,,,,
18244,7,Hillsboro Head Start CDC,Hillsboro Head Start CDC (18244),804 THOMAS ST,,HILLSBORO,76645,HILL,Licensed Center - Child Care Program,60,3/15/99,3/2/22,2/7/22,6/29/20,Y,Full,,,,,,,,,,,,
18797,3,Park Row Christian Academy & Children's Center,Park Row Christian Academy & Children's Center (18797),915 W PARK ROW DR,,ARLINGTON,76013,TARRANT,Licensed Center - Child Care Program,125,11/4/85,3/2/22,2/7/22,6/1/20,Y,Full,,,,,,,,,,,,
18924,8,Marbach Christian Church DCC,Marbach Christian Church DCC (18924),8023 MARBACH RD,,SAN ANTONIO,78227,BEXAR,Licensed Center - Child Care Program,119,12/9/85,3/2/22,2/7/22,12/9/85,Y,Full,,,,,,,,,,,,
18928,3,First Baptist Church CDC,First Baptist Church CDC (18928),1100 MALONE ST,,DENTON,76201,DENTON,Licensed Center - Child Care Program,200,12/20/85,3/2/22,2/7/22,5/26/20,Y,Full,,,,,,,,,,,,
18973,3,First Christian Church Child Development,First Christian Church Child Development (18973),202 W TARRANT RD,,GRAND PRAIRIE,75050,DALLAS,Licensed Center - Child Care Program,85,8/21/86,3/2/22,2/7/22,8/21/86,Y,Full,,,,,,,,,,,,
19727,7,Lockhart CDC,Lockhart CDC (19727),1808 W SAN ANTONIO ST,,LOCKHART,78644,CALDWELL,Licensed Center - Child Care Program,50,6/4/91,3/2/22,2/7/22,11/9/20,Y,Full,,,,,,,,,,,,
21007,7,Mainspring at Live Oak,Mainspring at Live Oak (21007),1100 W LIVE OAK ST,,AUSTIN,78704,TRAVIS,Licensed Center - Child Care Program,115,4/8/86,3/2/22,2/7/22,9/8/20,Y,Full,,,,,,,,,,,,
21030,5,Jacobs Ladder Learning Center,Jacobs Ladder Learning Center (21030),202 S CHARLTON ST,,WOODVILLE,75979,TYLER,Licensed Center - Child Care Program,90,5/30/86,3/2/22,2/7/22,5/20/20,Y,Full,,,,,,,,,,,,
21349,7,Hyde Park Baptist Child Development Center,Hyde Park Baptist Child Development Center (21349),3901 SPEEDWAY,,AUSTIN,78751,TRAVIS,Licensed Center - Child Care Program,400,4/22/87,3/2/22,2/7/22,6/15/20,Y,Full,,,,,,,,,,,,
21531,8,Life Church Child Development Center,Life Church Child Development Center (21531),4424 SW LOOP 410,,SAN ANTONIO,78227,BEXAR,Licensed Center - Child Care Program,131,10/17/85,3/2/22,2/7/22,10/17/85,Y,Full,,,,,,,,,,,,
21773,2,Bethel Childrens DCC,Bethel Childrens DCC (21773),209 TENNESSEE ST,,GRAHAM,76450,YOUNG,Licensed Center - Child Care Program,65,6/1/87,3/2/22,2/7/22,6/1/87,Y,Full,,,,,,,,,,,,
22299,8,Concordia Lutheran Child Care Center,Concordia Lutheran Child Care Center (22299),16801 HUEBNER RD,,SAN ANTONIO,78258,BEXAR,Licensed Center - Child Care Program,275,7/20/98,3/2/22,2/7/22,3/20/20,Y,Full,,,,,,,,,,,,
22357,3,Shiloh Terrace Baptist CDC,Shiloh Terrace Baptist CDC (22357),9810 LA PRADA DR,,DALLAS,75228,DALLAS,Licensed Center - Child Care Program,60,8/8/87,3/2/22,2/7/22,11/1/21,N,Full,,,,,,,,,,,,
22506,9,Harris Avenue Baptist Church Day Care,Harris Avenue Baptist Church Day Care (22506),1026 E HARRIS AVE,,SAN ANGELO,76903,TOM GREEN,Licensed Center - Child Care Program,112,9/3/86,3/2/22,2/7/22,9/3/86,Y,Full,,,,,,,,,,,,
22618,4,Ebenezer Day Care Center,Ebenezer Day Care Center (22618),1101 W QUEEN ST,,TYLER,75702,SMITH,Licensed Center - Child Care Program,140,6/2/86,3/2/22,2/7/22,6/2/86,Y,Full,,,,,,,,,,,,
22833,4,Southside Baptist CCC,Southside Baptist CCC (22833),1500 CROCKETT RD,,PALESTINE,75801,ANDERSON,Licensed Center - Child Care Program,136,3/4/87,3/2/22,2/7/22,3/4/87,Y,Full,,,,,,,,,,,,
22850-5213,1,Buttercup House Inc,Buttercup House Inc (22850-5213),1106 E 6TH ST,,BORGER,79007,HUTCHINSON,Licensed Center - Child Care Program,55,5/28/86,3/2/22,2/7/22,5/28/86,Y,Full,,,,,,,,,,,,
23191,3,Denton City County Day School,Denton City County Day School (23191),1603 PAISLEY ST,,DENTON,76209,DENTON,Licensed Center - Child Care Program,120,11/27/85,3/2/22,2/7/22,6/1/20,Y,Full,,,,,,,,,,,,
23197-1407,7,Taylor Child Development Center,Taylor Child Development Center (23197-1407),303 FERGUSON ST,,TAYLOR,76574,WILLIAMSON,Licensed Center - Child Care Program,120,11/4/86,3/2/22,2/7/22,8/24/20,Y,Full,,,,,,,,,,,,
24254-5032,2,Turner CDC,Turner CDC (24254-5032),219 E 3RD ST,,QUANAH,79252,HARDEMAN,Licensed Center - Child Care Program,96,12/31/92,3/2/22,2/7/22,10/20/20,Y,Full,,,,,,,,,,,,
24747,11,Elgin Park Neighborhood Center,Elgin Park Neighborhood Center (24747),2955 GREENWOOD DR,,CORPUS CHRISTI,78405,NUECES,Licensed Center - Child Care Program,51,10/22/85,3/2/22,2/7/22,4/12/21,Y,Full,,,,,,,,,,,,
24874,1,Floyd County Day Care Center,Floyd County Day Care Center (24874),301 W MISSOURI ST,,FLOYDADA,79235,FLOYD,Licensed Center - Child Care Program,91,9/19/86,3/2/22,2/7/22,9/19/86,Y,Full,,,,,,,,,,,,
25027,5,Katherine Sage Temple Child Care Center,Katherine Sage Temple Child Care Center (25027),101 MAYNARD ST,,DIBOLL,75941,ANGELINA,Licensed Center - Child Care Program,176,12/12/86,3/2/22,2/7/22,7/27/20,Y,Full,,,,,,,,,,,,
25136,7,Oak Lawn Baptist Day Care Center,Oak Lawn Baptist Day Care Center (25136),2105 BEHRENS CIR,,WACO,76705,MCLENNAN,Licensed Center - Child Care Program,130,10/14/86,3/2/22,2/7/22,5/4/20,Y,Full,,,,,,,,,,,,
25142-1029,9,McCamey Head Start,McCamey Head Start (25142-1029),1108 S KAUFMAN,,MCCAMEY,79752,UPTON,Licensed Center - Child Care Program,20,3/3/95,3/2/22,2/7/22,8/20/20,Y,Full,,,,,,,,,,,,
25143,9,Odessa Christian School,Odessa Christian School (25143),2000 DORAN DR,,ODESSA,79761,ECTOR,Licensed Center - School Age Program,150,5/28/87,3/2/22,2/7/22,8/17/20,Y,Full,,,,,,,,,,,,
25681,8,Central Christian Child Development Center,Central Christian Child Development Center (25681),720 N MAIN AVE,,SAN ANTONIO,78205,BEXAR,Licensed Center - Child Care Program,117,8/11/87,3/2/22,2/7/22,8/11/87,Y,Full,,,,,,,,,,,,
25718,3,Plano Day Care Center,Plano Day Care Center (25718),1111 H AVE,STE 100,PLANO,75074,COLLIN,Licensed Center - Child Care Program,72,7/6/87,3/2/22,2/7/22,7/6/87,Y,Full,,,,,,,,,,,,
26127,8,Baptist Temple Day Care Center,Baptist Temple Day Care Center (26127),901 E DREXEL AVE,,SAN ANTONIO,78210,BEXAR,Licensed Center - Child Care Program,234,8/12/87,3/2/22,2/7/22,3/27/20,Y,Full,,,,,,,,,,,,
26129,11,First Christian Church Day School and Child Care Center,First Christian Church Day School and Child Care Center (26129),3401 SANTA FE ST,,CORPUS CHRISTI,78411,NUECES,Licensed Center - Child Care Program,135,1/28/87,3/2/22,2/7/22,5/18/20,Y,Full,,,,,,,,,,,,
26221,11,Wesley Community Center,Wesley Community Center (26221),414 N MATIANA ORTIZ BLVD,,ROBSTOWN,78380,NUECES,Licensed Center - Child Care Program,68,5/19/87,3/2/22,2/7/22,7/6/20,Y,Full,,,,,,,,,,,,
27082,6,Spring Branch Presbyterian Academy,Spring Branch Presbyterian Academy (27082),1215 CAMPBELL RD,,HOUSTON,77055,HARRIS,Licensed Center - Child Care Program,255,9/5/89,3/2/22,2/7/22,6/15/20,Y,Full,,,,,,,,,,,,
27679,3,University Christian Weekday School,University Christian Weekday School (27679),2720 S UNIVERSITY DR,,FORT WORTH,76109,TARRANT,Licensed Center - Child Care Program,185,6/4/87,3/2/22,2/7/22,6/4/87,Y,Full,,,,,,,,,,,,
27811,2,Pioneer Drive CDC,Pioneer Drive CDC (27811),750 BUCCANEER DR,,ABILENE,79605,TAYLOR,Licensed Center - Child Care Program,300,10/19/85,3/2/22,2/7/22,10/19/85,Y,Full,,,,,,,,,,,,
28036-4070,11,Bonita Park Head Start CDC,Bonita Park Head Start CDC (28036-4070),601 S RNGRVL RD,,HARLINGEN,78552,CAMERON,Licensed Center - Child Care Program,47,9/4/90,3/2/22,2/7/22,9/14/20,Y,Full,,,,,,,,,,,,
28124,4,Oakland Heights CDC,Oakland Heights CDC (28124),1600 JUDSON RD,,LONGVIEW,75601,GREGG,Licensed Center - Child Care Program,131,10/3/86,3/2/22,2/7/22,7/20/20,Y,Full,,,,,,,,,,,,
28575,6,Southampton Montessori School,Southampton Montessori School (28575),5012 MORNINGSIDE DR,,HOUSTON,77005,HARRIS,Licensed Center - Child Care Program,430,10/14/85,3/2/22,2/7/22,10/14/85,Y,Full,,,,,,,,,,,,
28830,3,Jack and Jen Too,Jack and Jen Too (28830),403 W PECAN ST,,SHERMAN,75090,GRAYSON,Licensed Center - Child Care Program,102,8/25/87,3/2/22,2/7/22,8/25/87,Y,Full,,,,,,,,,,,,
30487,5,Dorcas Wills Memorial Baptist Church Child Care,Dorcas Wills Memorial Baptist Church Child Care (30487),201 N ROBB DR,,TRINITY,75862,TRINITY,Licensed Center - Child Care Program,112,3/2/87,3/2/22,2/7/22,6/1/20,Y,Full,,,,,,,,,,,,
31163,8,Ella Austin Child Center,Ella Austin Child Center (31163),1023 N PINE ST,,SAN ANTONIO,78202,BEXAR,Licensed Center - Child Care Program,95,11/27/85,3/2/22,2/7/22,6/15/20,Y,Full,,,,,,,,,,,,
31189-684,3,La Petite Academy,La Petite Academy (31189-684),8603 S NORMANDALE ST,,FORT WORTH,76116,TARRANT,Licensed Center - Child Care Program,117,11/27/85,3/2/22,2/7/22,6/1/20,Y,Full,,,,,,,,,,,,
31321,11,First Baptist School,First Baptist School (31321),3115 OCEAN DR,,CORPUS CHRISTI,78404,NUECES,Licensed Center - Child Care Program,155,5/29/87,3/2/22,2/7/22,1/26/21,Y,Full,,,,,,,,,,,,
31393,6,Wonderland Private School,Wonderland Private School (31393),5724 CALHOUN RD,,HOUSTON,77021,HARRIS,Licensed Center - Child Care Program,60,3/30/89,3/2/22,2/7/22,3/30/89,Y,Full,,,,,,,,,,,,
31417-684,8,La Petite Academy Wurzbach,La Petite Academy Wurzbach (31417-684),6522 WURZBACH RD,,SAN ANTONIO,78240,BEXAR,Licensed Center - Child Care Program,98,2/20/87,3/2/22,2/7/22,2/20/87,Y,Full,,,,,,,,,,,,
31441,8,Good Samaritan Center,Good Samaritan Center (31441),1600 SALTILLO ST,,SAN ANTONIO,78207,BEXAR,Licensed Center - Child Care Program,95,11/7/85,3/2/22,2/7/22,8/24/20,Y,Full,,,,,,,,,,,,
31763,3,Preston Hollow Methodist CDC,Preston Hollow Methodist CDC (31763),6315 WALNUT HILL LN,,DALLAS,75230,DALLAS,Licensed Center - Child Care Program,150,1/3/86,3/2/22,2/7/22,4/6/20,Y,Full,,,,,,,,,,,,
32219-5032,2,Seymour Child Development Center,Seymour Child Development Center (32219-5032),301 N EAST ST,,SEYMOUR,76380,BAYLOR,Licensed Center - Child Care Program,31,12/2/91,3/2/22,2/7/22,1/27/21,Y,Full,,,,,,,,,,,,
33009,3,Fred Moore Day Nursery School,Fred Moore Day Nursery School (33009),821 CROSS TIMBER ST,,DENTON,76205,DENTON,Licensed Center - Child Care Program,130,7/31/87,3/2/22,2/7/22,6/30/21,N,Full,,,,,,,,,,,,
33354,10,Immanuel Baptist CCC,Immanuel Baptist CCC (33354),1201 HAWKINS BLVD,,EL PASO,79925,EL PASO,Licensed Center - Child Care Program,200,5/29/87,3/2/22,2/7/22,10/29/20,Y,Full,,,,,,,,,,,,
33996,7,Young World Preschool And Mother's Day Out,Young World Preschool And Mother's Day Out (33996),2010 MARLANDWOOD RD,,TEMPLE,76502,BELL,Licensed Center - Child Care Program,61,8/16/97,3/2/22,2/7/22,7/15/20,Y,Full,,,,,,,,,,,,
34132,6,El Campo Methodist Child Care,El Campo Methodist Child Care (34132),1009 ROBERTS ST,,EL CAMPO,77437,WHARTON,Licensed Center - Child Care Program,125,11/18/85,3/2/22,2/7/22,11/18/85,Y,Full,,,,,,,,,,,,
34191,6,Little Folks Day Care and Preschool,Little Folks Day Care and Preschool (34191),1921 JOHANNA DR,,HOUSTON,77055,HARRIS,Licensed Center - Child Care Program,220,6/2/87,3/2/22,2/7/22,6/2/87,Y,Full,,,,,,,,,,,,
34195-2589,3,North Fort Worth Head Start and CDC,North Fort Worth Head Start and CDC (34195-2589),904 NW 30TH ST,,FORT WORTH,76106,TARRANT,Licensed Center - Child Care Program,83,6/5/87,3/2/22,2/7/22,8/16/21,Y,Full,,,,,,,,,,,,
34308,7,First English Lutheran Child Development Center,First English Lutheran Child Development Center (34308),3001 WHITIS AVE,,AUSTIN,78705,TRAVIS,Licensed Center - Child Care Program,78,9/3/85,3/2/22,2/7/22,7/6/20,Y,Full,,,,,,,,,,,,
34321-1346,3,Little Tyke - Richland Hills,Little Tyke - Richland Hills (34321-1346),6923 BAKER BLVD,,RICHLAND HILLS,76118,TARRANT,Licensed Center - Child Care Program,115,12/11/85,3/2/22,2/7/22,12/11/85,Y,Full,,,,,,,,,,,,
34692-1029,9,Lamesa Head Start Program,Lamesa Head Start Program (34692-1029),911 NE 3RD,,LAMESA,79331,DAWSON,Licensed Center - Child Care Program,211,11/10/86,3/2/22,2/7/22,10/13/20,Y,Full,,,,,,,,,,,,
34924,8,First Baptist Church Day Care,First Baptist Church Day Care (34924),301 N GLASS ST,,VICTORIA,77901,VICTORIA,Licensed Center - Child Care Program,171,9/19/85,3/2/22,2/7/22,8/5/20,Y,Full,,,,1/13/22,N,,,,,1/24/22,Y,
34974,7,Mart Head Start EOAC,Mart Head Start EOAC (34974),402 S MAIN ST,,MART,76664,MCLENNAN,Licensed Center - Child Care Program,40,10/9/86,3/2/22,2/7/22,9/7/21,Y,Full,,,,1/13/22,N,,,Y,,,,
35529-2729,6,Trotter YMCA Child Care Center,Trotter YMCA Child Care Center (35529-2729),1331 AUGUSTA DR,,HOUSTON,77057,HARRIS,Licensed Center - School Age Program,350,7/7/86,3/2/22,2/7/22,7/7/86,Y,Full,,,,,,,,,,,,
35538-1407,7,Mary Bailey Head Start,Mary Bailey Head Start (35538-1407),601 N COLLEGE ST,,GEORGETOWN,78626,WILLIAMSON,Licensed Center - Child Care Program,83,5/23/95,3/2/22,2/7/22,8/24/20,Y,Full,,,,,,,,,,,,
35809,6,First Baptist Child Care Center,First Baptist Child Care Center (35809),210 N MAGNOLIA ST,,HIGHLANDS,77562,HARRIS,Licensed Center - Child Care Program,123,3/20/86,3/2/22,2/7/22,3/20/86,Y,Full,,,,,,,,,,,,
36246,3,Heights Baptist Church Child Development,Heights Baptist Church Child Development (36246),201 W RENNER RD,,RICHARDSON,75080,COLLIN,Licensed Center - Child Care Program,225,8/26/97,3/2/22,2/7/22,9/1/20,Y,Full,,,,,,,,,,,,
36650,6,God's Grace Learning Center,God's Grace Learning Center (36650),411 OXFORD ST,,TOMBALL,77375,HARRIS,Licensed Center - Child Care Program,150,3/27/87,3/2/22,2/7/22,3/27/87,Y,Full,,,,,,,,,,,,
37344,10,Day Care Junction,Day Care Junction (37344),800 E RIO GRANDE AVE,,EL PASO,79902,EL PASO,Licensed Center - Child Care Program,104,8/10/87,3/2/22,2/7/22,8/10/87,Y,Full,,,,,,,,,,,,
37474,3,Highland Park United Methodist Day School,Highland Park United Methodist Day School (37474),3300 MOCKINGBIRD LN,,DALLAS,75205,DALLAS,Licensed Center - Child Care Program,235,11/6/87,3/2/22,2/7/22,6/15/20,Y,Full,,,,,,,,,,,,
37604,3,Tarrant County College Children,Tarrant County College Children (37604),828 W HARWOOD RD,,HURST,76054,TARRANT,Licensed Center - Child Care Program,88,10/28/85,3/2/22,2/7/22,8/9/21,Y,Full,,,,,,,,,,,,
37627,3,White Rock North School Inc,White Rock North School Inc (37627),9711-9727 WHITE ROCK TRL,,DALLAS,75238,DALLAS,Licensed Center - Child Care Program,325,7/8/87,3/2/22,2/7/22,6/1/20,Y,Full,,,,,,,,,,,,
37739,8,Laurel Heights United Methodist Church,Laurel Heights United Methodist Church (37739),234 W MISTLETOE AVE,,SAN ANTONIO,78212,BEXAR,Licensed Center - Child Care Program,125,3/9/87,3/2/22,2/7/22,7/20/20,Y,Full,,,,,,,,,,,,
38857,8,Inman Christian Center,Inman Christian Center (38857),1214 COLIMA ST,,SAN ANTONIO,78207,BEXAR,Licensed Center - Child Care Program,109,11/18/85,3/2/22,2/7/22,6/15/20,Y,Full,,,,,,,,,,,,
38986-1346,3,Little Tyke Northeast,Little Tyke Northeast (38986-1346),8204 GRAPEVINE HWY,,NORTH RICHLAND HILLS,76180,TARRANT,Licensed Center - Child Care Program,133,7/30/87,3/2/22,2/7/22,11/9/20,Y,Full,,,,,,,,,,,,
39086,8,Madonna Center,Madonna Center (39086),1906 CASTROVILLE RD,,SAN ANTONIO,78237,BEXAR,Licensed Center - Child Care Program,145,10/11/85,3/2/22,2/7/22,10/11/85,Y,Full,,,,,,,,,,,,
39108-3770,2,Day Nursery of Abilene Sherry Lane Center,Day Nursery of Abilene Sherry Lane Center (39108-3770),3434 SHERRY LN,,ABILENE,79603,TAYLOR,Licensed Center - Child Care Program,120,10/30/00,3/2/22,2/7/22,10/30/00,Y,Full,,,,,,,,,,,,
40820,8,Little Red Rooster,Little Red Rooster (40820),105 HALL AVE,,DEVINE,78016,MEDINA,Licensed Center - Child Care Program,99,4/20/87,3/2/22,2/7/22,4/20/87,Y,Full,,,,,,,,,,,,
40910,8,Lord Of Life Luth Ctr For C D,Lord Of Life Luth Ctr For C D (40910),5955 FM 78,,SAN ANTONIO,78244,BEXAR,Licensed Center - Child Care Program,127,2/9/88,3/2/22,2/7/22,3/30/20,Y,Full,,,,,,,,,,,,
40911,8,Madison Square Child Development Center,Madison Square Child Development Center (40911),319 CAMDEN ST,,SAN ANTONIO,78215,BEXAR,Licensed Center - Child Care Program,85,11/4/85,3/2/22,2/7/22,9/4/85,Y,Full,,,,,,,,,,,,
40970,7,Waco Montessori School,Waco Montessori School (40970),1920 COLUMBUS AVE,,WACO,76701,MCLENNAN,Licensed Center - Child Care Program,134,8/26/94,3/2/22,2/7/22,6/1/20,Y,Full,,,,,,,,,,,,
41129,7,Cedars Montessori School of Oak Hill,Cedars Montessori School of Oak Hill (41129),9704 CIRCLE DR,,AUSTIN,78736,TRAVIS,Licensed Center - Child Care Program,91,5/8/87,3/2/22,2/7/22,9/7/20,Y,Full,,,,,,,,,,,,
41245,4,Green Acres Early Education Center,Green Acres Early Education Center (41245),1607 TROUP HWY,,TYLER,75701,SMITH,Licensed Center - Child Care Program,400,7/28/87,3/2/22,2/7/22,7/17/20,Y,Full,,,,,,,,,,,,
