Operation Number,Operation Region,Operation Name,Address Line 1,Address Line 2,City,Zip Code,County,Operation Type,Capacity,Permit Issue Date,"Permit Status
3/1/2021","Operating Status
3/1/2021","Permit Status
3/6/2021","Operating Status
3/6/2021","Permit Status
3/13/2021","Operating Status
3/13/2021","Permit Status
3/20/2021","Operating Status
3/20/2021","Permit Status
3/27/2021","Operating Status
3/27/2021",,
9048,11,Molina Neighborhood Center,614 HORNE RD,,CORPUS CHRISTI,78416,NUECES,Licensed Center - Child Care Program,85,10/21/85,Full,Y,,,,,,,,,,
12191,3,Bethel Early Learning Center,11211 E NORTHWEST HWY,,DALLAS,75238,DALLAS,Licensed Center - Child Care Program,100,1/21/86,Full,Y,,,,,,,,,,
12902,8,Circle School,217 PERSHING AVE,,SAN ANTONIO,78209,BEXAR,Licensed Center - Child Care Program,85,12/13/85,Full,Y,,,,,,,,,,
14169-704,1,Carver Early Learning Center,2509 ELM AVE,,LUBBOCK,79404,LUBBOCK,Licensed Center - Child Care Program,82,4/15/86,Full,Y,,,,,,,,,,
14440,6,Holloway Day Nursery,6501 S RICE AVE,,BELLAIRE,77401,HARRIS,Licensed Center - Child Care Program,146,1/2/86,Full,Y,,,,,,,,,,
14650-5214,3,ChildCareGroup at Landauer,4539 MUNGER AVE,,DALLAS,75204,DALLAS,Licensed Center - Child Care Program,74,8/8/86,Full,Y,,,,,,,,,,
14985,3,Jack and Jen Child Care Center,123 S MCKOWN AVE,,SHERMAN,75092,GRAYSON,Licensed Center - Child Care Program,120,3/25/87,Full,Y,,,,,,,,,,
15433,7,St Francis Kindergarten and Nursery,612 N 3RD ST,,WACO,76701,MCLENNAN,Licensed Center - Child Care Program,150,3/17/87,Full,Y,,,,,,,,,,
15514,6,Childrens University Inc,1407 BLACKBURN DR,,PASADENA,77502,HARRIS,Licensed Center - Child Care Program,113,3/6/87,Full,Y,,,,,,,,,,
15595-4070,11,Esperanza B. Garza Head Start Child Development,131 W GARFIELD,,LAGUNA VISTA,78578,CAMERON,Licensed Center - Child Care Program,72,9/4/90,Full,Y,,,,,,,,,,
17561,8,St. Paul's Lutheran Child Development Center,106 211 ROSEBOROUGH ST,,SAN ANTONIO,78210,BEXAR,Licensed Center - Child Care Program,128,11/25/85,Full,Y,,,,,,,,,,
17744,9,First Baptist Child Development Center and Preschool,709 N LEE AVE,,ODESSA,79761,ECTOR,Licensed Center - Child Care Program,210,7/30/87,Full,Y,,,,,,,,,,
17856,6,ChristChurch Learning Center,5001 BELLAIRE BLVD,,BELLAIRE,77401,HARRIS,Licensed Center - Child Care Program,221,10/3/85,Full,Y,,,,,,,,,,
18244,7,Hillsboro Head Start CDC,804 THOMAS ST,,HILLSBORO,76645,HILL,Licensed Center - Child Care Program,60,3/15/99,Full,Y,,,,,,,,,,
18797,3,Park Row Christian Academy & Children's Center,915 W PARK ROW DR,,ARLINGTON,76013,TARRANT,Licensed Center - Child Care Program,125,11/4/85,Full,Y,,,,,,,,,,
18924,8,Marbach Christian Church DCC,8023 MARBACH RD,,SAN ANTONIO,78227,BEXAR,Licensed Center - Child Care Program,119,12/9/85,Full,Y,,,,,,,,,,
18928,3,First Baptist Church CDC,1100 MALONE ST,,DENTON,76201,DENTON,Licensed Center - Child Care Program,200,12/20/85,Full,Y,,,,,,,,,,
18973,3,First Christian Church Child Development,202 W TARRANT RD,,GRAND PRAIRIE,75050,DALLAS,Licensed Center - Child Care Program,85,8/21/86,Full,Y,,,,,,,,,,
19727,7,Lockhart CDC,1808 W SAN ANTONIO ST,,LOCKHART,78644,CALDWELL,Licensed Center - Child Care Program,50,6/4/91,Full,Y,,,,,,,,,,
21007,7,Mainspring at Live Oak,1100 W LIVE OAK ST,,AUSTIN,78704,TRAVIS,Licensed Center - Child Care Program,115,4/8/86,Full,Y,,,,,,,,,,
21030,5,Jacobs Ladder Learning Center,202 S CHARLTON ST,,WOODVILLE,75979,TYLER,Licensed Center - Child Care Program,90,5/30/86,Full,Y,,,,,,,,,,
21349,7,Hyde Park Baptist Child Development Center,3901 SPEEDWAY,,AUSTIN,78751,TRAVIS,Licensed Center - Child Care Program,400,4/22/87,Full,Y,,,,,,,,,,
21531,8,Life Church Child Development Center,4424 SW LOOP 410,,SAN ANTONIO,78227,BEXAR,Licensed Center - Child Care Program,131,10/17/85,Full,Y,,,,,,,,,,
21773,2,Bethel Childrens DCC,209 TENNESSEE ST,,GRAHAM,76450,YOUNG,Licensed Center - Child Care Program,65,6/1/87,Full,Y,,,,,,,,,,
22299,8,Concordia Lutheran Child Care Center,16801 HUEBNER RD,,SAN ANTONIO,78258,BEXAR,Licensed Center - Child Care Program,275,7/20/98,Full,Y,,,,,,,,,,
22357,3,Shiloh Terrace Baptist CDC,9810 LA PRADA DR,,DALLAS,75228,DALLAS,Licensed Center - Child Care Program,60,8/8/87,Full,Y,,,,,,,,,,
22506,9,Harris Avenue Baptist Church Day Care,1026 E HARRIS AVE,,SAN ANGELO,76903,TOM GREEN,Licensed Center - Child Care Program,112,9/3/86,Full,Y,,,,,,,,,,
22618,4,Ebenezer Day Care Center,1101 W QUEEN ST,,TYLER,75702,SMITH,Licensed Center - Child Care Program,140,6/2/86,Full,Y,,,,,,,,,,
22833,4,Southside Baptist CCC,1500 CROCKETT RD,,PALESTINE,75801,ANDERSON,Licensed Center - Child Care Program,136,3/4/87,Full,Y,,,,,,,,,,
22850-5213,1,Buttercup House Inc,1106 E 6TH ST,,BORGER,79007,HUTCHINSON,Licensed Center - Child Care Program,55,5/28/86,Full,Y,,,,,,,,,,
23191,3,Denton City County Day School,1603 PAISLEY ST,,DENTON,76209,DENTON,Licensed Center - Child Care Program,120,11/27/85,Full,Y,,,,,,,,,,
23197-1407,7,Taylor Child Development Center,303 FERGUSON ST,,TAYLOR,76574,WILLIAMSON,Licensed Center - Child Care Program,120,11/4/86,Full,Y,,,,,,,,,,
24254-5032,2,Turner CDC,219 E 3RD ST,,QUANAH,79252,HARDEMAN,Licensed Center - Child Care Program,96,12/31/92,Full,Y,,,,,,,,,,
24747,11,Elgin Park Neighbor Center,2955 GREENWOOD DR,,CORPUS CHRISTI,78405,NUECES,Licensed Center - Child Care Program,51,10/22/85,Full,N,,,,,,,,,,
24874,1,Floyd County Day Care Center,301 W MISSOURI ST,,FLOYDADA,79235,FLOYD,Licensed Center - Child Care Program,91,9/19/86,Full,Y,,,,,,,,,,
25027,5,Katherine Sage Temple Child Care Center,101 MAYNARD ST,,DIBOLL,75941,ANGELINA,Licensed Center - Child Care Program,176,12/12/86,Full,Y,,,,,,,,,,
25136,7,Oak Lawn Baptist Day Care Center,2105 BEHRENS CIR,,WACO,76705,MCLENNAN,Licensed Center - Child Care Program,130,10/14/86,Full,Y,,,,,,,,,,
25142-1029,9,McCamey Head Start,1108 S KAUFMAN,,MCCAMEY,79752,UPTON,Licensed Center - Child Care Program,20,3/3/95,Full,Y,,,,,,,,,,
25143,9,Odessa Christian School,2000 DORAN DR,,ODESSA,79761,ECTOR,Licensed Center - School Age Program,150,5/28/87,Full,Y,,,,,,,,,,
25681,8,Central Christian Child Development Center,720 N MAIN AVE,,SAN ANTONIO,78205,BEXAR,Licensed Center - Child Care Program,117,8/11/87,Full,Y,,,,,,,,,,
25718,3,Plano Day Care Center,1111 AVENUE H,STE 100,PLANO,75074,COLLIN,Licensed Center - Child Care Program,72,7/6/87,Full,Y,,,,,,,,,,
26127,8,Baptist Temple Day Care Center,901 E DREXEL AVE,,SAN ANTONIO,78210,BEXAR,Licensed Center - Child Care Program,234,8/12/87,Full,Y,,,,,,,,,,
26129,11,First Christian Church Day School and Child Care Center,3401 SANTA FE ST,,CORPUS CHRISTI,78411,NUECES,Licensed Center - Child Care Program,135,1/28/87,Full,Y,,,,,,,,,,
26221,11,Wesley Community Center,414 N MATIANA ORTIZ BLVD,,ROBSTOWN,78380,NUECES,Licensed Center - Child Care Program,68,5/19/87,Full,Y,,,,,,,,,,
27082,6,Spring Branch Presbyterian Academy,1215 CAMPBELL RD,,HOUSTON,77055,HARRIS,Licensed Center - Child Care Program,255,9/5/89,Full,Y,,,,,,,,,,
27679,3,University Christian Weekday School,2720 S UNIVERSITY DR,,FORT WORTH,76109,TARRANT,Licensed Center - Child Care Program,185,6/4/87,Full,Y,,,,,,,,,,
27811,2,Pioneer Drive CDC,750 BUCCANEER DR,,ABILENE,79605,TAYLOR,Licensed Center - Child Care Program,300,10/19/85,Full,Y,,,,,,,,,,
28036-4070,11,Bonita Park Head Start CDC,601 S RNGRVL RD,,HARLINGEN,78552,CAMERON,Licensed Center - Child Care Program,47,9/4/90,Full,Y,,,,,,,,,,
28124,4,Oakland Heights CDC,1600 JUDSON RD,,LONGVIEW,75601,GREGG,Licensed Center - Child Care Program,131,10/3/86,Full,Y,,,,,,,,,,
28575,6,Southampton Montessori School,5012 MORNINGSIDE DR,,HOUSTON,77005,HARRIS,Licensed Center - Child Care Program,430,10/14/85,Full,Y,,,,,,,,,,
28830,3,Jack and Jen Too,403 W PECAN ST,,SHERMAN,75090,GRAYSON,Licensed Center - Child Care Program,102,8/25/87,Full,Y,,,,,,,,,,
30487,5,Dorcas Wills Memorial Baptist Church Child Care,201 N ROBB DR,,TRINITY,75862,TRINITY,Licensed Center - Child Care Program,112,3/2/87,Full,Y,,,,,,,,,,
31163,8,Ella Austin Child Center,1023 N PINE ST,,SAN ANTONIO,78202,BEXAR,Licensed Center - Child Care Program,95,11/27/85,Full,Y,,,,,,,,,,
31189-684,3,La Petite Academy,8603 S NORMANDALE ST,,FORT WORTH,76116,TARRANT,Licensed Center - Child Care Program,117,11/27/85,Full,Y,,,,,,,,,,
31321,11,First Baptist School,3115 OCEAN DR,,CORPUS CHRISTI,78404,NUECES,Licensed Center - Child Care Program,155,5/29/87,Full,Y,,,,,,,,,,
31393,6,Wonderland Private School,5724 CALHOUN RD,,HOUSTON,77021,HARRIS,Licensed Center - Child Care Program,60,3/30/89,Full,Y,,,,,,,,,,
31417-684,8,La Petite Academy Wurzbach,6522 WURZBACH RD,,SAN ANTONIO,78240,BEXAR,Licensed Center - Child Care Program,98,2/20/87,Full,Y,,,,,,,,,,
31441,8,Good Samaritan Center,1600 SALTILLO ST,,SAN ANTONIO,78207,BEXAR,Licensed Center - Child Care Program,95,11/7/85,Full,Y,,,,,,,,,,
31763,3,Preston Hollow Methodist CDC,6315 WALNUT HILL LN,,DALLAS,75230,DALLAS,Licensed Center - Child Care Program,150,1/3/86,Full,Y,,,,,,,,,,
32219-5032,2,Seymour Child Development Center,301 N EAST ST,,SEYMOUR,76380,BAYLOR,Licensed Center - Child Care Program,31,12/2/91,Full,Y,,,,,,,,,,
33009,3,Fred Moore Day Nursery School,821 CROSS TIMBER ST,,DENTON,76205,DENTON,Licensed Center - Child Care Program,130,7/31/87,Full,Y,,,,,,,,,,
33354,10,Immanuel Baptist CCC,1201 HAWKINS BLVD,,EL PASO,79925,EL PASO,Licensed Center - Child Care Program,200,5/29/87,Full,Y,,,,,,,,,,
33996,7,Young World Preschool And Mother's Day Out,2010 MARLANDWOOD RD,,TEMPLE,76502,BELL,Licensed Center - Child Care Program,61,8/16/97,Full,Y,,,,,,,,,,
34132,6,El Campo Methodist Child Care,1009 ROBERTS ST,,EL CAMPO,77437,WHARTON,Licensed Center - Child Care Program,125,11/18/85,Full,Y,,,,,,,,,,
34191,6,Little Folks Day Care and Preschool,1921 JOHANNA DR,,HOUSTON,77055,HARRIS,Licensed Center - Child Care Program,220,6/2/87,Full,Y,,,,,,,,,,
34195-2589,3,North Fort Worth Head Start and CDC,904 NW 30TH ST,,FORT WORTH,76106,TARRANT,Licensed Center - Child Care Program,83,6/5/87,Full,N,,,,,,,,,,
34308,7,First English Lutheran Child Development Center,3001 WHITIS AVE,,AUSTIN,78705,TRAVIS,Licensed Center - Child Care Program,78,9/3/85,Full,Y,,,,,,,,,,
34321-1346,3,Little Tyke - Richland Hills,6923 BAKER BLVD,,RICHLAND HILLS,76118,TARRANT,Licensed Center - Child Care Program,115,12/11/85,Full,Y,,,,,,,,,,
34692-1029,9,Lamesa Head Start Program,505 NE 3RD ST,,LAMESA,79331,DAWSON,Licensed Center - Child Care Program,211,11/10/86,Full,Y,,,,,,,,,,
34924,8,First Baptist Church Day Care,301 N GLASS ST,,VICTORIA,77901,VICTORIA,Licensed Center - Child Care Program,171,9/19/85,Full,Y,,,,,,,,,,
34974,7,Mart Head Start EOAC,402 S MAIN ST,,MART,76664,MCLENNAN,Licensed Center - Child Care Program,40,10/9/86,Full,Y,,,,,,,,,,
35529-2729,6,Trotter YMCA Child Care Center,1331 AUGUSTA DR,,HOUSTON,77057,HARRIS,Licensed Center - School Age Program,350,7/7/86,Full,Y,,,,,,,,,,
35538-1407,7,Mary Bailey Head Start,601 N COLLEGE ST,,GEORGETOWN,78626,WILLIAMSON,Licensed Center - Child Care Program,83,5/23/95,Full,Y,,,,,,,,,,
35809,6,First Baptist Child Care Center,210 N MAGNOLIA ST,,HIGHLANDS,77562,HARRIS,Licensed Center - Child Care Program,123,3/20/86,Full,Y,,,,,,,,,,
36246,3,Heights Baptist Church Child Development,201 W RENNER RD,,RICHARDSON,75080,COLLIN,Licensed Center - Child Care Program,225,8/26/97,Full,Y,,,,,,,,,,
36650,6,God's Grace Learning Center,411 OXFORD ST,,TOMBALL,77375,HARRIS,Licensed Center - Child Care Program,150,3/27/87,Full,Y,,,,,,,,,,
37344,10,Day Care Junction,800 E RIO GRANDE AVE,,EL PASO,79902,EL PASO,Licensed Center - Child Care Program,104,8/10/87,Full,Y,,,,,,,,,,
37474,3,Highland Park United Methodist Day School,3300 MOCKINGBIRD LN,,DALLAS,75205,DALLAS,Licensed Center - Child Care Program,235,11/6/87,Full,Y,,,,,,,,,,
37604,3,Tarrant County College Children,828 W HARWOOD RD,,HURST,76054,TARRANT,Licensed Center - Child Care Program,88,10/28/85,Full,N,,,,,,,,,,
37627,3,White Rock North School Inc,9711-9727 WHITE ROCK TRL,,DALLAS,75238,DALLAS,Licensed Center - Child Care Program,325,7/8/87,Full,Y,,,,,,,,,,
37739,8,Laurel Heights United Methodist Church,234 W MISTLETOE AVE,,SAN ANTONIO,78212,BEXAR,Licensed Center - Child Care Program,125,3/9/87,Full,Y,,,,,,,,,,
38857,8,Inman Christian Center,1214 COLIMA ST,,SAN ANTONIO,78207,BEXAR,Licensed Center - Child Care Program,109,11/18/85,Full,Y,,,,,,,,,,
38986-1346,3,Little Tyke Northeast,8204 GRAPEVINE HWY,,NORTH RICHLAND HILLS,76180,TARRANT,Licensed Center - Child Care Program,133,7/30/87,Full,Y,,,,,,,,,,
39086,8,Madonna Center,1906 CASTROVILLE RD,,SAN ANTONIO,78237,BEXAR,Licensed Center - Child Care Program,145,10/11/85,Full,Y,,,,,,,,,,
39108-3770,2,Day Nursery of Abilene Sherry Lane Center,3434 SHERRY LN,,ABILENE,79603,TAYLOR,Licensed Center - Child Care Program,120,10/30/00,Full,Y,,,,,,,,,,
39356,2,Kinder Kare Day Care Center,1703 18TH ST,,BROWNWOOD,76801,BROWN,Licensed Center - Child Care Program,82,11/12/85,Full,Y,,,,,,,,,,
40820,8,Little Red Rooster,105 HALL AVE,,DEVINE,78016,MEDINA,Licensed Center - Child Care Program,99,4/20/87,Full,Y,,,,,,,,,,
40910,8,Lord Of Life Luth Ctr For C D,5955 F M RD 78,,SAN ANTONIO,78244,BEXAR,Licensed Center - Child Care Program,127,2/9/88,Full,Y,,,,,,,,,,
40911,8,Madison Square Child Development Center,319 CAMDEN ST,,SAN ANTONIO,78215,BEXAR,Licensed Center - Child Care Program,85,11/4/85,Full,Y,,,,,,,,,,
40970,7,Waco Montessori School,1920 COLUMBUS AVE,,WACO,76701,MCLENNAN,Licensed Center - Child Care Program,134,8/26/94,Full,Y,,,,,,,,,,
41129,7,Cedars Montessori School of Oak Hill,9704 CIRCLE DR,,AUSTIN,78736,TRAVIS,Licensed Center - Child Care Program,91,5/8/87,Full,Y,,,,,,,,,,
41245,4,Green Acres Early Education Center,1607 TROUP HWY,,TYLER,75701,SMITH,Licensed Center - Child Care Program,400,7/28/87,Full,Y,,,,,,,,,,
41279-684,8,La Petite Academy Rayburn,700 RAYBURN DR,,SAN ANTONIO,78221,BEXAR,Licensed Center - Child Care Program,118,8/13/85,Full,Y,,,,,,,,,,
41291,8,Trinity Methodist Weekday School,5319 NEWCOME DR,,SAN ANTONIO,78229,BEXAR,Licensed Center - Child Care Program,16,2/6/87,Full,Y,,,,,,,,,,
41752,11,Ricardo Floyd Headstart Center,4704 NARANJO ST,,LAREDO,78041,WEBB,Licensed Center - Child Care Program,95,7/10/86,Full,N,,,,,,,,,,
41864,11,FUMC Vinson Morris Children's Center,900 S SHORELINE BLVD,,CORPUS CHRISTI,78401,NUECES,Licensed Center - Child Care Program,98,5/1/86,Full,Y,,,,,,,,,,
42251,11,First Baptist Preschool of Portland,1305 WILDCAT DR,,PORTLAND,78374,SAN PATRICIO,Licensed Center - Child Care Program,280,3/28/86,Full,Y,,,,,,,,,,
42550,3,First Baptist Church Child Development,801 W AVENUE D,,GARLAND,75040,DALLAS,Licensed Center - Child Care Program,256,3/13/87,Full,Y,,,,,,,,,,
43019-5214,3,ChildCareGroup Martin Luther King Jr Center,2922 MARTIN LUTHER KING JR BL,,DALLAS,75215,DALLAS,Licensed Center - Child Care Program,114,8/18/86,Full,Y,,,,,,,,,,
43142,3,Calvary Baptist School,428 W CHURCH ST,,GRAND PRAIRIE,75050,DALLAS,Licensed Center - Child Care Program,50,7/2/87,Full,Y,,,,,,,,,,
43274,1,Tulia Child Development Center,134 N BOWIE AVE,,TULIA,79088,SWISHER,Licensed Center - Child Care Program,120,12/8/86,Full,Y,,,,,,,,,,
43852-747,3,Marquita KinderCare,3700 MARQUITA DR,,FORT WORTH,76116,TARRANT,Licensed Center - Child Care Program,153,11/25/85,Full,Y,,,,,,,,,,
44166,2,Ben Donnell Center,211 E WICHITA ST,,WICHITA FALLS,76306,WICHITA,Licensed Center - Child Care Program,50,8/30/88,Full,Y,,,,,,,,,,
45010-684,8,La Petite Academy West Sunset,318 W SUNSET RD,,SAN ANTONIO,78209,BEXAR,Licensed Center - Child Care Program,120,3/13/87,Full,Y,,,,,,,,,,
47064,8,Mossrock KinderCare,2711 MOSSROCK,,SAN ANTONIO,78230,BEXAR,Licensed Center - Child Care Program,167,7/24/87,Full,Y,,,,,,,,,,
47261-747,3,Westcreek KinderCare,6017 WESTCREEK DR,,FORT WORTH,76133,TARRANT,Licensed Center - Child Care Program,100,2/11/87,Full,Y,,,,,,,,,,
47689,7,McLennan Community College CDC,1400 COLLEGE DR,,WACO,76708,MCLENNAN,Licensed Center - Child Care Program,90,9/27/91,Full,Y,,,,,,,,,,
47829,11,Nazarene Child Care Center,2001 N 7TH ST,,HARLINGEN,78550,CAMERON,Licensed Center - Child Care Program,129,9/5/86,Full,Y,,,,,,,,,,
47884,6,School of the Woods #1,1307 AND 1321 WIRT RD,,HOUSTON,77055,HARRIS,Licensed Center - Child Care Program,307,6/6/86,Full,Y,,,,,,,,,,
47980-1086,7,Rosewood Zaragosa Child Development Center Child INC,2800 WEBBERVILLE RD,,AUSTIN,78702,TRAVIS,Licensed Center - Child Care Program,47,12/20/85,Full,Y,,,,,,,,,,
48002,2,Herschel Zale,403 LAMAR ST,,WICHITA FALLS,76301,WICHITA,Licensed Center - Child Care Program,84,9/5/86,Full,Y,,,,,,,,,,
48119-1128,3,Lily B Clayton CCC,2000 PARK PLACE AVE,,FORT WORTH,76110,TARRANT,Licensed Center - School Age Program,120,8/20/86,Full,Y,,,,,,,,,,
48259,10,Rainbow Express Depot CCC,104 E 2ND,,VAN HORN,79855,CULBERSON,Licensed Center - Child Care Program,59,6/22/01,Full,Y,,,,,,,,,,
48290,6,Hand In Hand CD,1012 E HOUSE ST,,ALVIN,77511,BRAZORIA,Licensed Center - Child Care Program,99,3/10/87,Full,Y,,,,,,,,,,
49001,7,El Buen Pastor Early Childhood Development Center,1208 WILLOW ST,,AUSTIN,78702,TRAVIS,Licensed Center - Child Care Program,117,6/22/87,Full,Y,,,,,,,,,,
49372,7,Open Door Central,1717 W 10TH ST,,AUSTIN,78703,TRAVIS,Licensed Center - Child Care Program,85,6/23/87,Full,Y,,,,,,,,,,
50054,8,Immaculate Conception Kindergarten and Nursery,2407 W TRAVIS ST,,SAN ANTONIO,78207,BEXAR,Licensed Center - Child Care Program,125,4/3/87,Full,Y,,,,,,,,,,
50185,7,Immanuel Baptist CDC,1401 W CENTRAL AVE,,TEMPLE,76504,BELL,Licensed Center - Child Care Program,200,2/19/86,Full,Y,,,,,,,,,,
50203,7,Escuela Montessor De Montopol,2013 MONTOPOLIS DR,,AUSTIN,78741,TRAVIS,Licensed Center - Child Care Program,60,10/22/93,Full,Y,,,,,,,,,,
51229,4,Asbury House Child Enrichment Center,320 S CENTER ST,,LONGVIEW,75601,GREGG,Licensed Center - Child Care Program,58,7/18/95,Full,Y,,,,,,,,,,
51715,6,San Jacinto College North Children's Center,5800 UVALDE RD,,HOUSTON,77049,HARRIS,Licensed Center - Child Care Program,110,3/19/86,Full,Y,,,,,,,,,,
51867,8,Colonial Hills United Methodist School,5247 VANCE JACKSON RD,,SAN ANTONIO,78230,BEXAR,Licensed Center - Child Care Program,160,4/20/87,Full,Y,,,,,,,,,,
52056,6,Terrace Weekday Programs,1203 WIRT RD,,HOUSTON,77055,HARRIS,Licensed Center - Child Care Program,242,2/24/88,Full,Y,,,,,,,,,,
52236,9,ST Luke Christian Child Development Center,2781 W AVENUE N,,SAN ANGELO,76904,TOM GREEN,Licensed Center - Child Care Program,165,1/29/88,Full,Y,,,,,,,,,,
52845,3,Texas A&M University - Commerce Childrens Learning Center,2601 STATE HWY 50,,COMMERCE,75428,HUNT,Licensed Center - Child Care Program,158,6/7/89,Full,Y,,,,,,,,,,
52861,7,Saulsbury Jean Wilson Childrens Center,206 S 24TH ST,,TEMPLE,76501,BELL,Licensed Center - Child Care Program,41,3/31/86,Full,Y,,,,,,,,,,
53272,6,Wee Wuns Weekday Ministries,13403 CYPRESS NORTH HOUSTON R,,CYPRESS,77429,HARRIS,Licensed Center - Child Care Program,306,9/1/89,Full,Y,,,,,,,,,,
53325,6,Presbyterian Day School,501 3RD ST,,PALACIOS,77465,MATAGORDA,Licensed Center - Child Care Program,51,3/27/86,Full,Y,,,,,,,,,,
53710,7,Trinity Child Development Center,5801 WESTMINSTER DR,,AUSTIN,78723,TRAVIS,Licensed Center - Child Care Program,48,12/20/88,Full,Y,,,,,,,,,,
53750,6,Holy Cross Lutheran Early Learning,7901 WESTVIEW DR,,HOUSTON,77055,HARRIS,Licensed Center - Child Care Program,61,10/29/85,Full,Y,,,,,,,,,,
53774,3,SIL Childcare,7500 W CAMP WISDOM RD,,DALLAS,75236,DALLAS,Licensed Center - Child Care Program,58,8/10/87,Full,N,,,,,,,,,,
53826,1,ST Lukes Pre-school,3708 45TH ST,,LUBBOCK,79413,LUBBOCK,Licensed Center - Child Care Program,99,6/2/87,Full,Y,,,,,,,,,,
53871,8,King of Kings Child Care Center,13888 DREAMWOOD DR,,SAN ANTONIO,78233,BEXAR,Licensed Center - Child Care Program,140,12/22/86,Full,Y,,,,,,,,,,
54087-704,1,Guadalupe Early Learning Center,101 AVENUE K,,LUBBOCK,79401,LUBBOCK,Licensed Center - Child Care Program,110,3/8/88,Full,Y,,,,,,,,,,
54228,8,Saint Matthews United Methodist,2738 MACARTHUR VW,,SAN ANTONIO,78217,BEXAR,Licensed Center - Child Care Program,100,5/1/89,Full,Y,,,,,,,,,,
54235,8,Schertz 1st Baptist Preschool,600 AERO AVE,,SCHERTZ,78154,GUADALUPE,Licensed Center - Child Care Program,102,3/1/87,Full,Y,,,,,,,,,,
54243,11,Jewish Community Council,750 EVERHART RD,,CORPUS CHRISTI,78411,NUECES,Licensed Center - Child Care Program,143,7/7/91,Full,Y,,,,,,,,,,
54284,6,Academy Learning Center,3519 BURKE RD,,PASADENA,77504,HARRIS,Licensed Center - Child Care Program,75,2/16/87,Full,Y,,,,,,,,,,
